Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Sergio AlmirÑn,F,5'09,175.26,11 07,18/08/1958,27,Rosario,Newell's Old Boys,Argentina,A
2,Sergio Batista,M,6'01,185.42,12 13,09/11/1962,23,Buenos Aires,Argentinos Juniors,Argentina,A
3,Ricardo Bochini,M,5'06,167.64,10 06,25/01/1954,32,Zàrate,Independiente,Argentina,A
4,Claudio Borghi,F,6'00,182.88,11 09,28/09/1964,21,Castelar,Argentinos Juniors,Argentina,A
5,Jos_ Luis Brown,D,6'00,182.88,12 11,10/11/1956,29,Ranchos,Boca Juniors,Argentina,A
6,Daniel Passarella,D,5'10,177.8,11 09,25/05/1953,33,Chacabuco,Fiorentina,Argentina,A
7,Jorge Burruchaga,M,5'10,177.8,11 11,09/10/1962,23,Gualeguay,Nantes,Argentina,A
8,N_stor Clausen,D,5'09,175.26,11 11,29/09/1962,23,Santa Fe Province,Independiente,Argentina,A
9,Jos_ Luis Cuciuffo,D,5'09,175.26,11 05,01/02/1961,25,CÑrdoba,Velez Sarsfield,Argentina,A
10,Diego Maradona,M,5'06,167.64,11 00,30/10/1960,25,Villa Fiorito,Napoli,Argentina,A
11,Jorge Valdano,F,6'02,187.96,13 03,04/10/1955,30,Las Parejas,Real Madrid,Argentina,A
12,H_ctor Enrique,M,5'08,172.72,11 03,26/04/1962,24,LanÏs,River Plate,Argentina,A
13,Oscar Garr_,D,5'09,175.26,11 09,09/12/1956,29,Capital Federal,FerroCarril Oeste,Argentina,A
14,Ricardo Giusti,M,5'10,177.8,12 00,11/12/1956,29,Arroyo Seco,Independiente,Argentina,A
15,Luis Islas,G,6'02,187.96,13 10,22/12/1965,20,Buenos Aires,Estudiantes,Argentina,A
16,Julio Olarticoechea,M,5'07,170.18,11 03,18/10/1958,27,Saladillo,Boca Juniors,Argentina,A
17,Pedro Pasculli,F,5'08,172.72,11 00,17/05/1960,26,Santa Fe,Lecce,Argentina,A
18,Nery Pumpido,G,6'00,182.88,12 08,30/07/1957,28,Santa Fe,River Plate,Argentina,A
19,Oscar Ruggeri,D,6'00,182.88,12 13,26/01/1962,24,Corral de Bustos,River Plate,Argentina,A
20,Carlos Tapia,M,5'08,172.72,11 03,20/08/1962,23,San Miguel,Boca Juniors,Argentina,A
21,Marcelo Trobbiani,M,5'09,175.26,11 00,17/02/1955,31,Casilda,Elche,Argentina,A
22,H_ctor Zelada,G,,,,30/04/1957,29,Maciel,Am_rica,Argentina,A
1,Borislav Mikhailov,G,6'00,182.88,12 00,12/02/1963,23,,Vitosha Sofia,Bulgaria,A
2,Nasko Sirakov,M,6'01,185.42,12 13,26/04/1962,24,Sofia,Vitosha Sofia,Bulgaria,A
3,Nikolay Arabov,D,5'09,175.26,10 03,14/11/1953,32,Sliven,Sliven,Bulgaria,A
4,Petar Petrov,D,,,,20/02/1961,25,Sofia,Vitosha Sofia,Bulgaria,A
5,Georgi Dimitrov,D,6'02,187.96,12 13,14/01/1959,27,Sofia,Sredec Sofia,Bulgaria,A
6,Andrey Zhelyazkov,M,,,,09/07/1952,33,Radnevo,Strasbourg,Bulgaria,A
7,Bozhidar Iskrenov,F,6'00,182.88,12 04,01/08/1962,23,,Vitosha Sofia,Bulgaria,A
8,Anyo Sadkov,M,5'09,175.26,10 12,26/09/1961,24,,Lokomotiv Plovdiv,Bulgaria,A
9,Stoycho Mladenov,F,5'10,177.8,11 05,12/04/1956,30,Dimitrovgrad,Sredec Sofia,Bulgaria,A
10,Zhivko Gospodinov,M,5'09,175.26,12 00,06/09/1957,28,Vladimirovo,Spartak Varna,Bulgaria,A
11,Plamen Getov,M,5'09,175.26,11 09,04/03/1959,27,Varna,Spartak Pleven,Bulgaria,A
12,Radoslav Zdravkov,D,5'10,177.8,11 05,30/07/1956,29,Sofia,Sredec Sofia,Bulgaria,A
13,Aleksandar Markov,D,5'09,175.26,11 03,17/08/1961,24,,Spartak Pleven,Bulgaria,A
14,Plamen Markov,F,5'10,177.8,12 00,11/09/1957,28,Sevlievo,Metz,Bulgaria,A
15,Georgi Yordanov,M,,,,21/07/1963,22,,Vitosha Sofia,Bulgaria,A
16,Vasil Dragolov,F,,,,17/08/1962,23,,Beroe Stara Zagora,Bulgaria,A
17,Hristo Kolev,M,,,,21/09/1964,21,Plovdiv,Lokomotiv Plovdiv,Bulgaria,A
18,Boycho Velitchkov,F,,,,13/08/1958,27,,Lokomotiv Sofia,Bulgaria,A
19,Atanas Pashev,M,,,,21/11/1963,22,,Trakia Plovdiv,Bulgaria,A
20,Kostadin Kostadinov,F,,,,25/06/1959,26,Plovdiv,Trakia Plovdiv,Bulgaria,A
21,Iliya Dyakov,G,,,,28/09/1963,22,,Dobrudzha Tolbuchin,Bulgaria,A
22,Iliya Valov,G,,,,29/12/1961,24,Vratsa,Vratsa,Bulgaria,A
1,Giovanni Galli,G,6'02,187.96,12 11,29/04/1958,28,Pisa,Fiorentina,Italy,A
2,Giuseppe Bergomi,D,6'00,182.88,12 04,22/12/1963,22,Milan,Internazionale,Italy,A
3,Antonio Cabrini,D,5'10,177.8,11 05,08/10/1957,28,Cremona,Juventus,Italy,A
4,Fulvio Collovati,D,6'00,182.88,11 11,09/05/1957,29,Teor,Internazionale,Italy,A
5,Sebastiano Nela,D,5'10,177.8,11 07,13/03/1961,25,Rapallo,Roma,Italy,A
6,Gaetano Scirea,D,5'10,177.8,11 11,25/05/1953,33,Cernusco sul Naviglio,Juventus,Italy,A
7,Roberto Tricella,D,6'00,182.88,11 11,18/03/1959,27,Cernusco sul Naviglio,Verona,Italy,A
8,Pietro Vierchowod,D,5'11,180.34,12 00,06/04/1959,27,Calcinate,Sampdoria,Italy,A
9,Carlo Ancelotti,M,5'10,177.8,11 09,06/10/1959,26,Reggiolo,Roma,Italy,A
10,Salvatore Bagni,M,5'10,177.8,12 08,25/09/1956,29,Correggio,Napoli,Italy,A
11,Giuseppe Baresi,M,5'09,175.26,11 09,07/02/1958,28,Travagliato,Internazionale,Italy,A
12,Franco Tancredi,G,5'09,175.26,11 05,10/01/1955,31,Giulianova,Roma,Italy,A
13,Fernando De Napoli,M,5'10,177.8,11 11,15/03/1964,22,Chiusano di San Domenico,Avellino,Italy,A
14,Antonio Di Gennaro,M,5'10,177.8,11 05,05/10/1958,27,Florence,Verona,Italy,A
15,Marco Tardelli,M,5'10,177.8,11 00,24/09/1954,31,Capanne di Careggine,Internazionale,Italy,A
16,Bruno Conti,M,5'07,170.18,10 03,13/03/1955,31,Nettuno,Roma,Italy,A
17,Gianluca Vialli,F,5'11,180.34,13 05,09/07/1964,21,Cremona,Sampdoria,Italy,A
18,Alessandro Altobelli,F,5'11,180.34,11 07,28/11/1955,30,Sonnino,Internazionale,Italy,A
19,Giuseppe Galderisi,F,5'07,170.18,10 12,22/03/1963,23,Salerno,Verona,Italy,A
20,Paolo Rossi,F,5'09,175.26,10 06,23/09/1956,29,Santa Lucia,Milan,Italy,A
21,Aldo Serena,F,6'00,182.88,12 02,25/06/1960,25,Montebelluna,Juventus,Italy,A
22,Walter Zenga,G,6'02,187.96,13 03,28/04/1960,26,Milan,Internazionale,Italy,A
1,Cho Byung-Deouk,G,6'00,182.88,13 01,26/05/1958,28,,Hallelujah,South Korea,A
2,Park Kyung-Hoon,D,5'08,172.72,11 00,19/01/1961,25,Seoul,Posco Atoms,South Korea,A
3,Chung Jong-Soo,D,5'09,175.26,10 08,27/03/1961,25,,Yukong Elephants,South Korea,A
4,Cho Kwang-Rae,M,5'07,170.18,10 01,19/03/1954,32,,Daewoo Royals,South Korea,A
5,Chung Yong-Hwan,D,5'10,177.8,12 00,10/02/1960,26,,Daewoo Royals,South Korea,A
6,Lee Tae-Ho,F,5'09,175.26,11 00,29/01/1961,25,,Daewoo Royals,South Korea,A
7,Kim Jong-Boo,F,6'00,182.88,12 11,13/01/1965,21,,Korea University,South Korea,A
8,Cho Young-Jeoung,M,5'10,177.8,12 00,18/08/1954,31,,Lucky Gold Star,South Korea,A
9,Choi Soon-Ho,M,6'01,185.42,12 08,10/01/1961,25,,Posco Atoms,South Korea,A
10,Park Chang-Seon,F,5'07,170.18,10 03,02/02/1954,32,,Daewoo Royals,South Korea,A
11,Cha Bum-Kun,F,5'10,177.8,12 04,22/05/1953,33,Hwaseong,Bayer Leverkusen,South Korea,A
12,Kim Pyung-Seok,D,5'09,175.26,11 00,22/09/1958,27,,Hyundai Horang-I,South Korea,A
13,Noh Soo-Jin,M,5'09,175.26,11 07,10/02/1962,24,,Yukong Elephants,South Korea,A
14,Cho Min-Kook,M,6'00,182.88,12 08,05/07/1963,22,Seoul,Lucky Gold Star,South Korea,A
15,Yoo Byung-Ok,D,5'10,177.8,11 05,02/03/1964,22,,Hanyang University,South Korea,A
16,Kim Joo-Sung,F,5'10,177.8,11 05,17/01/1966,20,Yangyang,Chosun University,South Korea,A
17,Huh Jung-Moo,M,5'09,175.26,11 09,13/01/1955,31,Jindo,Hyundai Horang-I,South Korea,A
18,Kim Sam-Soo,M,5'07,170.18,09 13,08/02/1963,23,,Hyundai Horang-I,South Korea,A
19,Byun Byung-Joo,F,5'09,175.26,10 12,26/04/1961,25,,Daewoo Royals,South Korea,A
20,Kim Yong-Se,F,6'04,193.04,13 03,21/04/1960,26,,Yukong Elephants,South Korea,A
21,Oh Yeon-Kyo,G,6'00,182.88,12 04,25/05/1960,26,,Yukong Elephants,South Korea,A
22,Kang Deouk-Soo,F,5'08,172.72,10 08,16/08/1961,24,,Lucky Gold Star,South Korea,A
1,Jean-Marie Pfaff,G,5'11,180.34,12 04,04/12/1953,32,Lebbeke,Bayern Munich,Belgium,B
2,Eric Gerets,D,5'10,177.8,12 02,18/05/1954,32,Rekem,PSV,Belgium,B
3,Franky Van Der Elst,M,6'00,182.88,12 00,30/04/1961,25,Opwijk,Club Brugge,Belgium,B
4,Michel De Wolf,D,5'07,170.18,10 10,19/01/1958,28,Nivelles,KAA Gent,Belgium,B
5,Michel Renquin,D,5'11,180.34,12 06,03/11/1955,30,Bastenaken,Standard Liège,Belgium,B
6,Franky Vercauteren,M,5'09,175.26,11 07,28/10/1956,29,Brussels,Anderlecht,Belgium,B
