Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Thomas Nkono,G,"6'00""",182.88,12 08,20/07/1955,26,Dizangue,Canon Yaoundé,Cameroon,A
2,Michel Kaham,D,"5'10""",177.8,11 11,01/06/1952,30,,Stade Quimperois,Cameroon,A
3,Edmond Enoka,D,,,,,,,Dragon Douala,Cameroon,A
4,René Ndjeya,D,"6'01""",185.42,11 11,,,,Union Douala,Cameroon,A
5,Elie Onana,D,"6'00""",182.88,12 00,,,,Federal Foumban,Cameroon,A
6,Emmanuel Kundé,D,"6'01""",185.42,12 06,15/07/1956,25,,Canon Yaoundé,Cameroon,A
7,Ephrem Mbom,D,,,,,,,Canon Yaoundé,Cameroon,A
8,Grégoire Mbida,M,"6'00""",182.88,12 08,27/01/1955,27,,Canon Yaoundé,Cameroon,A
9,Roger Milla,F,"5'09""",175.26,11 05,20/05/1952,30,Yaoundé,Bastia,Cameroon,A
10,Jean-Pierre Tokoto,M,"5'10""",177.8,11 05,26/01/1948,34,,Jacksonville Tea Men,Cameroon,A
11,Charles Toubé,F,,,,,,,Tonnerre Yaoundé,Cameroon,A
12,Joseph-Antoine Bell,G,"6'00""",182.88,12 06,08/10/1954,27,,Africa Sports,Cameroon,A
13,Paul Bahoken,F,"5'09""",175.26,11 11,07/05/1955,27,,Cannes,Cameroon,A
14,Théophile Abega,M,,,,09/07/1954,27,,Canon Yaoundé,Cameroon,A
15,François Ndoumbé,F,,,,,,,Union Douala,Cameroon,A
16,Ibrahim Aoudou,M,"6'01""",185.42,13 05,23/08/1955,26,,Cannes,Cameroon,A
17,Joseph Kamga,M,,,,,,,Union Douala,Cameroon,A
18,Jacques Nguea,F,,,,,,,Canon Yaoundé,Cameroon,A
19,Joseph Enanga,M,,,,,,,Union Douala,Cameroon,A
20,Alain Eyobo,F,,,,,,,Dynamo Douala,Cameroon,A
21,Ernest Ebongue,F,,,,15/05/1962,20,,Tonnerre Yaoundé,Cameroon,A
22,Simon Tschobang,G,,,,,,,Dynamo Douala,Cameroon,A
1,Dino Zoff,G,"6'00""",182.88,12 04,28/02/1942,40,Mariano del Friuli,Juventus,Italy,A
2,Franco Baresi,D,"5'09""",175.26,11 00,08/05/1960,22,Travagliato,Milan,Italy,A
3,Giuseppe Bergomi,D,"6'00""",182.88,12 04,22/12/1963,18,Milan,Internazionale,Italy,A
4,Antonio Cabrini,D,"5'10""",177.8,11 05,08/10/1957,24,Cremona,Juventus,Italy,A
5,Fulvio Collovati,D,"6'00""",182.88,11 11,09/05/1957,25,Teor,Milan,Italy,A
6,Claudio Gentile,D,"6'00""",182.88,,27/09/1953,28,Tripoli,Juventus,Italy,A
7,Gaetano Scirea,D,"5'10""",177.8,11 11,25/05/1953,29,Cernusco sul Naviglio,Juventus,Italy,A
8,Pietro Vierchowod,D,"5'11""",180.34,12 00,06/04/1959,23,Calcinate,Fiorentina,Italy,A
9,Giancarlo Antognoni,M,"5'10""",177.8,11 07,01/04/1954,28,Marsciano,Fiorentina,Italy,A
10,Giuseppe Dossena,M,"5'10""",177.8,12 00,02/05/1958,24,Milan,Torino,Italy,A
11,Giampiero Marini,M,,,,25/02/1951,31,Lodi,Internazionale,Italy,A
12,Ivano Bordon,G,,,,13/04/1951,31,Marghera,Internazionale,Italy,A
13,Gabriele Oriali,M,"5'09""",175.26,11 09,25/11/1952,29,Como,Internazionale,Italy,A
14,Marco Tardelli,M,"5'10""",177.8,11 00,24/09/1954,27,Capanne di Careggine,Juventus,Italy,A
15,Franco Causio,F,"5'08""",172.72,10 10,01/02/1949,33,Lecce,Udinese,Italy,A
16,Bruno Conti,M,"5'07""",170.18,10 03,13/03/1955,27,Nettuno,Roma,Italy,A
