Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Jack Reilly,G,"6'01""",185.42,12 08,27/08/1945,28,,Hakoah Melbourne,Australia,A
2,Doug Utjesenovic,D,"5'09""",175.26,11 00,08/10/1946,27,,St George Sydney,Australia,A
3,Peter Wilson,D,"6'01""",185.42,12 08,15/09/1947,26,Felling,Safeway United,Australia,A
4,Manfred Sch_fer,D,,,,12/02/1943,31,Kaliningrad,St George Sydney,Australia,A
5,Colin Curran,D,"5'06""",167.64,10 08,21/08/1947,26,,Western Suburbs,Australia,A
6,Ray Richards,M,"5'09""",175.26,11 11,18/05/1944,30,,Marconi Fairfield,Australia,A
7,Jimmy Rooney,M,"5'06""",167.64,09 08,10/12/1945,28,Dundee,APIA Leichhardt,Australia,A
8,Jimmy Mackay,M,"5'09""",175.26,11 03,19/12/1943,30,,Hakoah Sydney,Australia,A
9,Johnny Warren,F,"5'09""",175.26,11 03,17/05/1943,31,Sydney,St George Sydney,Australia,A
10,Gary Manuel,F,,,,20/02/1950,24,,Pan Hellenic,Australia,A
11,Attila Abonyi,F,"6'00""",182.88,12 00,16/08/1946,27,,St George Sydney,Australia,A
12,Adrian Alston,F,"6'00""",182.88,12 00,06/02/1949,25,Preston,Safeway United,Australia,A
13,Peter Ollerton,F,"6'00""",182.88,12 11,20/05/1951,23,,APIA Leichhardt,Australia,A
14,Max Tolson,M,,,,18/07/1945,28,Wollongong,Safeway United,Australia,A
15,Harry Williams,D,"5'09""",175.26,11 09,07/05/1951,23,Sydney,St George Sydney,Australia,A
16,Ivo Rudic,D,,,,24/01/1942,32,Split,Pan Hellenic,Australia,A
17,Dave Harding,M,,,,14/08/1946,27,Liverpool,Pan Hellenic,Australia,A
18,Johnny Watkiss,D,,,,28/03/1941,33,,Hakoah Sydney,Australia,A
19,Ernie Campbell,F,"5'10""",177.8,11 07,20/10/1948,25,Sydney,Marconi Fairfield,Australia,A
20,Branko Buljevic,F,"6'01""",185.42,11 11,06/09/1947,26,Makarska,Footscray JUST,Australia,A
21,Jim Milisavljevic,G,,,,15/04/1951,23,,Footscray JUST,Australia,A
22,Allan Maher,G,,,,21/07/1950,23,,Sutherland Shire,Australia,A
1,Leopoldo Vallejos,G,"5'10""",177.8,11 05,16/07/1944,29,,Universidad Cat—lica,Chile,A
2,Rolando Garc’a,D,"5'09""",175.26,10 10,15/12/1942,31,,Colo Colo,Chile,A
3,Alberto Quintano,D,"6'00""",182.88,13 01,26/04/1946,28,,Universidad de Chile,Chile,A
4,Antonio Arias,D,"5'08""",172.72,11 03,09/10/1944,29,,Uni—n Espa–ola,Chile,A
5,El’as Figueroa,D,"6'00""",182.88,12 11,25/10/1946,27,Valpara’so,Internacional,Chile,A
6,Juan Rodr’guez,M,"5'07""",170.18,11 03,16/01/1944,30,,Espa–ol,Chile,A
7,Carlos Caszely,F,"5'06""",167.64,10 12,05/07/1950,23,,Levante,Chile,A
8,Francisco Vald_s,M,,,,19/03/1943,31,Santiago,Colo Colo,Chile,A
9,Sergio Ahumada,F,"5'09""",175.26,10 12,02/10/1948,25,,Colo Colo,Chile,A
10,Carlos Reinoso,M,,,,07/03/1945,29,,Am_rica,Chile,A
11,Leonardo V_liz,F,"5'09""",175.26,10 08,03/09/1945,28,,Colo Colo,Chile,A
12,Juan Machuca,M,,,,07/03/1951,23,,Uni—n Espa–ola,Chile,A
13,Rafael Gonz‡lez,M,,,,24/04/1950,24,,Colo Colo,Chile,A
14,Alfonso Lara,M,"5'08""",172.72,11 05,27/04/1946,28,,Colo Colo,Chile,A
15,Mario Galindo,D,"5'08""",172.72,10 10,10/08/1951,22,,Colo Colo,Chile,A
16,Guillermo P‡ez,F,"5'10""",177.8,11 07,18/04/1945,29,,Colo Colo,Chile,A
17,Guillermo Y‡var,M,"5'10""",177.8,11 03,26/03/1943,31,,Uni—n Espa–ola,Chile,A
18,Jorge Soc’as,M,"5'09""",175.26,11 05,06/10/1951,22,,Universidad de Chile,Chile,A
19,Rogelio Far’as,M,"5'11""",180.34,12 00,13/08/1949,24,,Uni—n Espa–ola,Chile,A
20,Osvaldo Castro,M,,,,14/04/1947,27,,Am_rica,Chile,A
21,Juan Olivares,G,"5'08""",172.72,11 07,20/02/1941,33,,Uni—n Espa–ola,Chile,A
22,Adolfo Nef,G,,,,18/01/1946,28,,Colo Colo,Chile,A
1,JŸrgen Croy,G,"6'01""",185.42,13 10,19/10/1946,27,Zwickau,Sachsenring Zwickau,East Germany,A
2,Lothar Kurbjuweit,D,"5'10""",177.8,12 02,06/11/1950,23,,Carl Zeiss Jena,East Germany,A
3,Bernd Bransch,D,"5'11""",180.34,12 02,24/09/1944,29,Halle,Carl Zeiss Jena,East Germany,A
4,Konrad Weise,D,"5'09""",175.26,10 03,17/08/1951,22,,Carl Zeiss Jena,East Germany,A
