Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Christian Piot,G,"5'09""",175.26,11 11,06/10/1947,22,,Standard Liège,Belgium,A
2,Georges Heylens,D,"5'06""",167.64,10 08,08/08/1941,28,,Anderlecht,Belgium,A
3,Jean Thissen,D,"5'11""",180.34,13 01,21/04/1946,24,,Standard Liège,Belgium,A
4,Nico Dewalque,D,"6'00""",182.88,12 11,20/09/1945,24,,Standard Liège,Belgium,A
5,Leon Jeck,D,"6'00""",182.88,13 08,09/02/1947,23,,Standard Liège,Belgium,A
6,Jean Dockx,F,"5'09""",175.26,11 11,24/05/1941,29,,Anderlecht,Belgium,A
7,Leon Semmeling,M,"5'07""",170.18,10 08,04/01/1940,30,,Standard Liège,Belgium,A
8,Wilfried Van Moer,M,"5'06""",167.64,10 10,01/03/1945,25,Beveren-Waas,Standard Liège,Belgium,A
9,Johan Devrindt,F,"5'09""",175.26,12 08,14/04/1944,26,,Anderlecht,Belgium,A
10,Paul Van Himst,F,"5'10""",177.8,12 11,02/10/1943,26,Sint-Pieters-Leeuw,Anderlecht,Belgium,A
11,Wilfried Puis,F,"5'08""",172.72,10 10,18/02/1943,27,Oostende,Anderlecht,Belgium,A
12,Jean-Marie Trappeniers,G,,,,13/01/1942,28,,Anderlecht,Belgium,A
13,Jacques Beurlet,D,,,,21/12/1944,25,,Standard Liège,Belgium,A
14,Maurice Martens,D,,,,05/06/1947,22,,Anderlecht,Belgium,A
15,Erwin Van Den Daele,M,,,,05/03/1945,25,,Club Brugge,Belgium,A
16,Odilon Polleunis,F,"5'09""",175.26,12 02,01/05/1943,27,,Sint-Truiden,Belgium,A
17,Jan Verheyen,M,,,,09/07/1944,25,,Beerschot,Belgium,A
18,Raoul Lambert,F,"5'10""",177.8,13 01,22/10/1944,25,,Club Brugge,Belgium,A
19,Pierre Carteus,F,,,,24/09/1943,26,,Club Brugge,Belgium,A
20,Alfons Peeters,D,,,,21/01/1943,27,,Anderlecht,Belgium,A
21,Francois Janssens,F,,,,25/09/1945,24,,Lierse,Belgium,A
22,Jacques Duquesne,G,,,,22/04/1940,30,,Charleroi,Belgium,A
