Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Gordon Banks,G,"6'00""",182.88,13 03,30/12/1937,28,Sheffield,Leicester C,England,A
2,George Cohen,D,"5'10""",177.8,12 06,22/10/1939,26,Kensington,Fulham,England,A
3,Ray Wilson,D,"5'08""",172.72,11 07,17/12/1934,31,Shirebrook,Everton,England,A
4,Nobby Stiles,M,"5'06""",167.64,10 10,18/05/1942,24,Collyhurst,Manchester U,England,A
5,Jack Charlton,D,"6'01""",185.42,12 13,08/05/1935,31,Ashington,Leeds U,England,A
6,Bobby Moore,D,"5'10""",177.8,11 05,12/04/1941,25,Barking,West Ham U,England,A
7,Alan Ball,M,"5'06""",167.64,10 06,12/05/1945,21,Farnworth,Blackpool,England,A
8,Jimmy Greaves,F,"5'08""",172.72,10 06,20/02/1940,26,East Ham,Tottenham H,England,A
9,Bobby Charlton,M,"5'09""",175.26,11 05,11/10/1937,28,Ashington,Manchester U,England,A
10,Geoff Hurst,F,"5'11""",180.34,12 11,08/12/1941,24,Ashton-under-Lyne,West Ham U,England,A
11,John Connelly,F,"5'09""",175.26,11 00,18/07/1938,27,St. Helens,Manchester U,England,A
12,Ron Springett,G,"5'10""",177.8,12 04,22/07/1935,30,Fulham,Sheffield W,England,A
13,Peter Bonetti,G,"5'11""",180.34,11 00,27/09/1941,24,Putney,Chelsea,England,A
14,Jimmy Armfield,D,"5'10""",177.8,12 02,21/09/1935,30,Denton,Blackpool,England,A
15,Gerry Byrne,D,,,,29/08/1938,27,Liverpool,Liverpool,England,A
16,Martin Peters,M,"6'00""",182.88,11 11,08/11/1943,22,Plaistow,West Ham U,England,A
17,Ron Flowers,M,"5'11""",180.34,12 11,28/07/1934,31,Edlington,Wolverhampton W,England,A
18,Norman Hunter,D,"6'00""",182.88,12 08,24/10/1943,22,Eighton Banks,Leeds U,England,A
19,Terry Paine,F,"5'07""",170.18,10 03,23/03/1939,27,Winchester,Southampton,England,A
20,Ian Callaghan,F,"5'07""",170.18,10 10,10/04/1942,24,Toxteth,Liverpool,England,A
21,Roger Hunt,F,,,,20/07/1938,27,Golborne,Liverpool,England,A
22,George Eastham,F,,,,23/09/1936,29,Blackpool,Arsenal,England,A
1,Marcel Aubour,G,"5'11""",180.34,12 00,17/06/1940,26,Saint-Tropez,Lyon,France,A
2,Marcel Artelesa,M,"5'08""",172.72,11 00,02/07/1938,28,Pont-Sainte-Marie,Monaco,France,A
3,Edmond Baraffe,F,,,,19/10/1942,23,Annoeullin,Toulouse,France,A
