Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Efraim Sanchez,G,"6'00""",182.88,11 11,26/02/1926,36,,Atl_tico Nacional,Colombia,A
2,Achito Vivas,G,,,,,,,Deportivo Pereira,Colombia,A
3,Francisco Zuluaga,D,"5'10""",177.8,12 00,04/02/1929,33,,Independiente Santa Fe,Colombia,A
4,Anibal Alzate,D,"5'11""",180.34,11 05,31/01/1933,29,,Deportes Tolima,Colombia,A
5,Jaime Ortiz Gonzalez,D,"5'09""",175.26,11 09,01/04/1938,24,,Am_rica de Cali,Colombia,A
6,Ignacio Calle,D,,,,,,,Atl_tico Nacional,Colombia,A
7,Carlos Aponte,D,,,,,,,Independiente Santa Fe,Colombia,A
8,Hector Echeverri,D,,,,10/04/1938,24,,Atl_tico Nacional,Colombia,A
9,Jaime Silva,M,"5'07""",170.18,11 00,10/10/1935,26,,Independiente Santa Fe,Colombia,A
10,Rolando Serrano,M,"5'07""",170.18,11 11,13/11/1938,23,,Am_rica de Cali,Colombia,A
11,Oscar Lopez,D,"5'09""",175.26,10 03,02/04/1939,23,,Once Caldas,Colombia,A
12,Hernando Tovar,G,,,,,,,Independiente Santa Fe,Colombia,A
13,German Aceros,F,"5'08""",172.72,10 10,30/09/1938,23,,Deportivo Cali,Colombia,A
14,Luis Paz,F,,,,,,,Am_rica de Cali,Colombia,A
15,Marcos Ignacio Coll,M,"5'08""",172.72,11 07,23/08/1935,26,,Am_rica de Cali,Colombia,A
16,Ignacio Perez,F,,,,,,,Once Caldas,Colombia,A
17,Marino Klinger,F,,,,07/02/1936,26,,Millonarios,Colombia,A
18,Eusebio Escobar,F,,,,,,,Deportivo Pereira,Colombia,A
19,Delio Gamboa,F,"6'03""",190.5,12 00,28/01/1936,26,,Millonarios,Colombia,A
20,Antonio Rada,F,"5'08""",172.72,11 11,13/06/1937,24,,Deportivo Pereira,Colombia,A
21,Hector Garzon Gonzalez,F,"5'09""",175.26,11 00,07/07/1937,24,,Independiente Santa Fe,Colombia,A
22,Jairo Arias,F,"5'08""",172.72,11 03,02/11/1938,23,,Atl_tico Nacional,Colombia,A
1,Roberto Eduardo Sosa,G,"5'10""",177.8,11 09,14/06/1935,26,,Nacional [URU],Uruguay,A
2,Horacio Troche,D,"5'08""",172.72,11 00,14/02/1936,26,,Nacional [URU],Uruguay,A
3,Emilio Walter Alvarez,D,"6'00""",182.88,12 08,10/02/1939,23,,Nacional [URU],Uruguay,A
4,Omar Mario Mendez,D,,,,11/05/1938,24,,Nacional [URU],Uruguay,A
5,Nestor Goncalves,D,"5'10""",177.8,11 09,27/04/1936,26,,Pe–arol,Uruguay,A
6,Pedro Ramon Cubilla,M,,,,,,,Rampla Juniors,Uruguay,A
7,Domingo Salvador Perez,M,"5'07""",170.18,11 07,07/06/1936,25,,Nacional [URU],Uruguay,A
8,Julio Cesar Cortez,M,"5'09""",175.26,11 05,29/03/1941,21,,Sud Am_rica,Uruguay,A
9,Jose Francisco Sasia,F,"5'09""",175.26,12 04,27/12/1933,28,,Pe–arol,Uruguay,A
10,Pedro Rocha,M,"5'11""",180.34,12 04,03/12/1942,19,Salto,Pe–arol,Uruguay,A
11,Lu’s Cubilla,F,"5'07""",170.18,11 00,28/03/1940,22,Paysandu,Pe–arol,Uruguay,A
12,Luis Maria Maidana,G,,,,,,,Pe–arol,Uruguay,A
14,William Ruben Martinez,D,"6'04""",193.04,14 05,13/01/1928,34,,Pe–arol,Uruguay,A
15,Ruben Nestor Soria,D,,,,,,,Cerro,Uruguay,A
16,Edgardo Nilson Gonzalez,M,,,,,,,Pe–arol,Uruguay,A
17,Ruben Adan Gonzalez,D,,,,,,,Nacional [URU],Uruguay,A
18,Eliseo Alvarez,D,"5'06""",167.64,11 00,09/08/1940,21,,Nacional [URU],Uruguay,A
19,Ronald Arturo Langon,F,"5'09""",175.26,11 09,06/08/1939,22,,Defensor Sporting,Uruguay,A
20,Mario Ludovico Bergara,F,"5'08""",172.72,11 07,01/12/1937,24,,Nacional [URU],Uruguay,A
21,Hector Jesus Silva,M,"5'09""",175.26,11 03,01/02/1940,22,,Danubio,Uruguay,A
22,Angel Ruben Cabrera,M,,,,09/10/1939,22,,Cerro Porte–o,Uruguay,A
23,Guillermo Escalada,F,,,,24/04/1936,26,,Nacional [URU],Uruguay,A
1,Lev Yashin,G,"6'01""",185.42,12 13,22/10/1929,32,Moscow,Dynamo Moscow,USSR,A
2,Vladimir Maslatchenko,G,"5'11""",180.34,12 04,05/03/1936,26,,Lokomotiv Moscow,USSR,A
3,Sergei Kotrikhadze,G,,,,09/08/1936,25,,Dinamo Tbilisi,USSR,A
