Number,Name,Pos,Height,Height_cm,Weight,Date of Birth,Age,Birth Place,Current Club,Nat,Group
1,Norberto Alonso,M,"5'09""",175.26,10 12,04/01/1953,25,Vicente L—pez,River Plate,Argentina,A
2,Osvaldo Ardiles,M,"5'07""",170.18,09 11,03/08/1952,25,C—rdoba,Hurac‡n,Argentina,A
3,H_ctor Baley,G,,,,16/11/1950,27,La Plata,Hurac‡n,Argentina,A
4,Daniel Bertoni,F,"5'10""",177.8,11 07,14/03/1955,23,Bahia Blanca,Independiente,Argentina,A
5,Ubaldo Fillol,G,"6'00""",182.88,12 08,21/07/1950,27,San Miguel del Monte,River Plate,Argentina,A
6,Am_rico Gallego,M,"5'07""",170.18,11 00,25/04/1955,23,,Newell's Old Boys,Argentina,A
7,Luis Galv‡n,D,"5'09""",175.26,11 09,24/02/1948,30,Fernandez,Talleres (C—rdoba),Argentina,A
8,Rub_n Galv‡n,D,,,,07/04/1952,26,Comandante Fontana,Independiente,Argentina,A
9,Ren_ Houseman,F,"5'05""",165.1,09 13,19/07/1953,24,La Banda,Hurac‡n,Argentina,A
10,Mario Kempes,F,"6'00""",182.88,12 08,15/07/1954,23,Belville,Valencia,Argentina,A
11,Daniel Killer,D,,,,21/12/1949,28,Rosario,Racing Club,Argentina,A
12,Omar Larrosa,M,"5'09""",175.26,11 00,18/11/1947,30,Lanœs,Independiente,Argentina,A
13,Ricardo Lavolpe,G,,,,06/02/1952,26,Buenos Aires,San Lorenzo,Argentina,A
14,Leopoldo Luque,F,"5'10""",177.8,11 11,03/05/1949,29,Santa Fe,River Plate,Argentina,A
15,Jorge Olgu’n,D,"5'09""",175.26,11 00,17/05/1952,26,Dolores,San Lorenzo,Argentina,A
16,Oscar Ortiz,F,"5'07""",170.18,11 00,08/04/1953,25,Chacabuco,River Plate,Argentina,A
17,Miguel Oviedo,M,"5'08""",172.72,11 03,12/10/1950,27,C—rdoba,Talleres (C—rdoba),Argentina,A
18,Rub_n Pagnanini,D,,,,31/01/1949,29,San Nicol‡s de los Arroyos,Independiente,Argentina,A
19,Daniel Passarella,D,"5'10""",177.8,11 09,25/05/1953,25,Chacabuco,River Plate,Argentina,A
20,Alberto Tarantini,D,"5'10""",177.8,11 05,03/12/1955,22,Ezeiza,Boca Juniors,Argentina,A
21,Jos_ Daniel Valencia,M,"5'07""",170.18,10 03,03/10/1955,22,San Salvador,Talleres (C—rdoba),Argentina,A
